"","Population","Bag","Oyster","Status","Age","Site","Year"
"1","GH",1,1,1,13,"Wickford",2023
"2","GH",1,2,1,13,"Wickford",2023
"3","GH",1,3,1,13,"Wickford",2023
"4","GH",1,4,1,13,"Wickford",2023
"5","GH",1,5,1,13,"Wickford",2023
"6","GH",1,6,1,13,"Wickford",2023
"7","GH",1,7,1,13,"Wickford",2023
"8","GH",1,8,1,13,"Wickford",2023
"9","GH",1,9,1,13,"Wickford",2023
"10","GH",1,10,1,13,"Wickford",2023
"11","GH",1,11,1,13,"Wickford",2023
"12","GH",1,12,1,13,"Wickford",2023
"13","GH",1,13,1,13,"Wickford",2023
"14","GH",1,14,1,13,"Wickford",2023
"15","GH",1,15,1,13,"Wickford",2023
"16","GH",1,16,1,13,"Wickford",2023
"17","GH",1,17,1,13,"Wickford",2023
"18","GH",1,18,1,13,"Wickford",2023
"19","GH",1,19,1,13,"Wickford",2023
"20","GH",1,20,1,13,"Wickford",2023
"21","GH",1,21,1,13,"Wickford",2023
"22","GH",1,22,1,13,"Wickford",2023
"23","GH",1,23,1,13,"Wickford",2023
"24","GH",1,24,1,13,"Wickford",2023
"25","GH",1,25,1,13,"Wickford",2023
"26","GH",1,26,1,13,"Wickford",2023
"27","GH",1,27,1,13,"Wickford",2023
"28","GH",1,28,1,13,"Wickford",2023
"29","GH",1,29,1,13,"Wickford",2023
"30","GH",1,30,1,13,"Wickford",2023
"31","GH",1,31,1,13,"Wickford",2023
"32","GH",1,32,1,13,"Wickford",2023
"33","GH",1,33,1,13,"Wickford",2023
"34","GH",1,34,1,13,"Wickford",2023
"35","GH",1,35,1,13,"Wickford",2023
"36","GH",1,36,1,13,"Wickford",2023
"37","GH",1,37,1,13,"Wickford",2023
"38","GH",1,38,1,13,"Wickford",2023
"39","GH",1,39,1,13,"Wickford",2023
"40","GH",1,40,1,13,"Wickford",2023
"41","GH",1,41,1,13,"Wickford",2023
"42","GH",1,42,1,13,"Wickford",2023
"43","GH",1,43,1,13,"Wickford",2023
"44","GH",1,44,1,13,"Wickford",2023
"45","GH",1,45,1,13,"Wickford",2023
"46","GH",1,46,1,13,"Wickford",2023
"47","GH",1,47,1,13,"Wickford",2023
"48","GH",1,48,1,13,"Wickford",2023
"49","GH",1,49,1,13,"Wickford",2023
"50","GH",1,50,1,13,"Wickford",2023
"51","GH",1,51,1,13,"Wickford",2023
"52","GH",1,52,1,13,"Wickford",2023
"53","GH",1,53,1,13,"Wickford",2023
"54","GH",1,54,1,13,"Wickford",2023
"55","GH",1,55,1,13,"Wickford",2023
"56","GH",1,56,1,13,"Wickford",2023
"57","GH",1,57,1,13,"Wickford",2023
"58","GH",1,58,1,13,"Wickford",2023
"59","GH",1,59,1,13,"Wickford",2023
"60","GH",1,60,1,13,"Wickford",2023
"61","GH",1,61,1,13,"Wickford",2023
"62","GH",1,62,1,13,"Wickford",2023
"63","GH",1,63,1,13,"Wickford",2023
"64","GH",1,64,1,13,"Wickford",2023
"65","GH",1,65,1,13,"Wickford",2023
"66","GH",1,66,1,13,"Wickford",2023
"67","GH",1,67,1,13,"Wickford",2023
"68","GH",1,68,1,13,"Wickford",2023
"69","GH",1,69,1,13,"Wickford",2023
"70","GH",1,70,1,13,"Wickford",2023
"71","GH",1,71,1,13,"Wickford",2023
"72","GH",1,72,1,13,"Wickford",2023
"73","GH",1,73,1,13,"Wickford",2023
"74","GH",1,74,1,13,"Wickford",2023
"75","GH",1,75,1,13,"Wickford",2023
"76","GH",1,76,1,13,"Wickford",2023
"77","GH",1,77,1,13,"Wickford",2023
"78","GH",1,78,1,13,"Wickford",2023
"79","GH",1,79,1,13,"Wickford",2023
"80","GH",1,80,1,13,"Wickford",2023
"81","GH",1,81,1,13,"Wickford",2023
"82","GH",1,82,1,13,"Wickford",2023
"83","GH",1,83,1,13,"Wickford",2023
"84","GH",1,84,1,13,"Wickford",2023
"85","GH",1,85,1,13,"Wickford",2023
"86","GH",1,86,1,13,"Wickford",2023
"87","GH",1,87,1,13,"Wickford",2023
"88","GH",1,88,1,13,"Wickford",2023
"89","GH",1,89,1,13,"Wickford",2023
