Population,Bag,Oyster,Status,Age,Site,Year
CL2,1,1,1,12,Ninigret,2023
CL2,1,2,1,12,Ninigret,2023
CL2,1,3,1,12,Ninigret,2023
CL2,1,4,1,12,Ninigret,2023
CL2,1,5,1,12,Ninigret,2023
CL2,1,6,1,12,Ninigret,2023
CL2,1,7,1,12,Ninigret,2023
CL2,1,8,1,12,Ninigret,2023
CL2,2,1,1,12,Ninigret,2023
CL2,2,2,1,12,Ninigret,2023
CL2,2,3,1,12,Ninigret,2023
CL2,2,4,1,12,Ninigret,2023
CL2,2,5,1,12,Ninigret,2023
CL2,2,6,1,12,Ninigret,2023
CL2,2,7,1,12,Ninigret,2023
CL2,2,8,1,12,Ninigret,2023
CL2,2,9,1,12,Ninigret,2023
CL2,2,10,1,12,Ninigret,2023
CL2,2,11,1,12,Ninigret,2023
CL2,2,12,1,12,Ninigret,2023
CL2,2,13,1,12,Ninigret,2023
CL2,2,14,1,12,Ninigret,2023
CL2,2,15,1,12,Ninigret,2023
CL2,3,1,1,12,Ninigret,2023
CL2,3,2,1,12,Ninigret,2023
CL2,3,3,1,12,Ninigret,2023
CL2,3,4,1,12,Ninigret,2023
CL2,3,5,1,12,Ninigret,2023
CL2,3,6,1,12,Ninigret,2023
CL2,3,7,1,12,Ninigret,2023
CL2,3,8,1,12,Ninigret,2023
CL2,3,9,1,12,Ninigret,2023
CL2,3,10,1,12,Ninigret,2023
CL2,3,11,1,12,Ninigret,2023
CL2,3,12,1,12,Ninigret,2023
CL2,3,13,1,12,Ninigret,2023
GH,1,1,1,12,Ninigret,2023
GH,1,2,1,12,Ninigret,2023
GH,2,1,1,12,Ninigret,2023
GH,2,2,1,12,Ninigret,2023
GH,3,1,1,12,Ninigret,2023
GH,3,2,1,12,Ninigret,2023
GH,3,3,1,12,Ninigret,2023
GH,3,4,1,12,Ninigret,2023
GH,3,5,1,12,Ninigret,2023
GH,3,6,1,12,Ninigret,2023
GH,3,7,1,12,Ninigret,2023
MV,1,1,1,12,Ninigret,2023
MV,1,2,1,12,Ninigret,2023
MV,1,3,1,12,Ninigret,2023
MV,1,4,1,12,Ninigret,2023
MV,1,5,1,12,Ninigret,2023
MV,1,6,1,12,Ninigret,2023
MV,1,7,1,12,Ninigret,2023
MV,1,8,1,12,Ninigret,2023
MV,1,9,1,12,Ninigret,2023
MV,1,10,1,12,Ninigret,2023
MV,1,11,1,12,Ninigret,2023
MV,1,12,1,12,Ninigret,2023
MV,1,13,1,12,Ninigret,2023
MV,1,14,1,12,Ninigret,2023
MV,1,15,1,12,Ninigret,2023
MV,1,16,1,12,Ninigret,2023
MV,2,1,1,12,Ninigret,2023
MV,2,2,1,12,Ninigret,2023
MV,2,3,1,12,Ninigret,2023
MV,2,4,1,12,Ninigret,2023
MV,2,5,1,12,Ninigret,2023
MV,2,6,1,12,Ninigret,2023
MV,2,7,1,12,Ninigret,2023
