Oyster,Bag,Population,Status,Age,Site,Year
28908,2,MV,0,15,RWU,2022
28909,2,MV,0,15,RWU,2022
28910,2,MV,0,15,RWU,2022
28911,2,MV,0,15,RWU,2022
28912,2,MV,1,15,RWU,2022
28913,2,GH,1,10,RWU,2022
28914,2,MV,0,15,RWU,2022
28915,2,MV,0,15,RWU,2022
28916,2,MV,1,15,RWU,2022
28917,2,MV,1,15,RWU,2022
28918,2,MV,1,15,RWU,2022
28919,2,GH,1,10,RWU,2022
28920,2,MV,1,15,RWU,2022
28921,2,MV,0,15,RWU,2022
28922,2,GH,1,10,RWU,2022
28923,2,GH,1,10,RWU,2022
28924,2,GH,1,10,RWU,2022
28925,2,MV,0,15,RWU,2022
28926,2,MV,1,15,RWU,2022
28927,2,GH,1,10,RWU,2022
28928,2,MV,1,15,RWU,2022
28929,2,GH,1,10,RWU,2022
28930,2,GH,1,10,RWU,2022
28931,2,MV,1,15,RWU,2022
28932,2,GH,1,10,RWU,2022
28933,2,MV,1,15,RWU,2022
28934,2,GH,1,10,RWU,2022
28935,2,GH,1,10,RWU,2022
28936,2,GH,1,10,RWU,2022
28937,2,GH,1,10,RWU,2022
28938,2,GH,1,10,RWU,2022
28939,2,GH,1,10,RWU,2022
28940,2,MV,1,15,RWU,2022
28941,2,GH,1,10,RWU,2022
28942,2,GH,1,10,RWU,2022
28943,2,GH,1,10,RWU,2022
28944,2,GH,1,10,RWU,2022
28945,2,GH,1,10,RWU,2022
28946,2,MV,1,15,RWU,2022
28947,2,GH,1,10,RWU,2022
28948,2,GH,1,10,RWU,2022
28949,2,GH,1,10,RWU,2022
28950,2,GH,1,10,RWU,2022
28951,2,GH,1,10,RWU,2022
28952,2,GH,1,10,RWU,2022
28953,2,MV,1,15,RWU,2022
28954,2,CL2,0,15,RWU,2022
28955,2,GH,1,10,RWU,2022
28956,2,MV,0,15,RWU,2022
28957,2,GH,1,10,RWU,2022
28958,2,MV,1,15,RWU,2022
28959,2,GH,1,10,RWU,2022
28960,2,MV,0,15,RWU,2022
28961,2,GH,1,10,RWU,2022
28962,2,MV,0,15,RWU,2022
28963,2,GH,1,10,RWU,2022
28964,2,GH,1,10,RWU,2022
28965,2,GH,1,10,RWU,2022
28966,2,GH,1,10,RWU,2022
28967,2,MV,1,15,RWU,2022
28968,2,MV,0,15,RWU,2022
28969,2,GH,1,10,RWU,2022
28970,2,GH,1,10,RWU,2022
28971,2,MV,1,15,RWU,2022
28972,2,MV,0,15,RWU,2022
28973,2,MV,0,15,RWU,2022
28974,2,GH,1,10,RWU,2022
28975,2,MV,0,15,RWU,2022
28976,2,MV,0,15,RWU,2022
28977,2,GH,1,10,RWU,2022
28978,2,GH,1,10,RWU,2022
28979,2,GH,1,10,RWU,2022
28980,2,MV,1,15,RWU,2022
28981,2,MV,1,15,RWU,2022
28982,2,MV,1,15,RWU,2022
28983,2,MV,1,15,RWU,2022
28984,2,GH,1,10,RWU,2022
28985,2,GH,1,10,RWU,2022
28986,2,MV,1,15,RWU,2022
28987,2,MV,0,15,RWU,2022
28988,2,MV,1,15,RWU,2022
28989,2,MV,0,15,RWU,2022
28990,2,MV,1,15,RWU,2022
28991,2,MV,1,15,RWU,2022
28992,2,GH,1,10,RWU,2022
28993,2,MV,0,15,RWU,2022
28994,2,GH,1,10,RWU,2022
28995,2,MV,0,15,RWU,2022
28996,2,MV,0,15,RWU,2022
28997,2,MV,0,15,RWU,2022
28998,2,MV,0,15,RWU,2022
28999,2,MV,0,15,RWU,2022
29000,2,MV,0,15,RWU,2022
29001,2,MV,0,15,RWU,2022
29002,2,MV,0,15,RWU,2022
29003,2,MV,0,15,RWU,2022
29004,2,MV,1,15,RWU,2022
29005,2,MV,1,15,RWU,2022
29006,2,MV,0,15,RWU,2022
29007,2,MV,0,15,RWU,2022
29008,3,GH,0,15,RWU,2022
29009,3,GH,1,15,RWU,2022
29010,3,CL1,0,15,RWU,2022
29011,3,CL1,0,15,RWU,2022
29012,3,CL1,0,15,RWU,2022
29013,3,GH,1,15,RWU,2022
29014,3,GH,1,15,RWU,2022
29016,3,GH,0,15,RWU,2022
29018,3,CL1,0,15,RWU,2022
29020,3,GH,0,15,RWU,2022
29021,3,CL1,0,15,RWU,2022
29022,3,GH,1,15,RWU,2022
29023,3,GH,0,15,RWU,2022
29024,3,GH,0,15,RWU,2022
29025,3,CL1,0,15,RWU,2022
29026,3,GH,0,15,RWU,2022
29027,3,GH,1,15,RWU,2022
29028,3,GH,0,15,RWU,2022
29029,3,GH,0,15,RWU,2022
29030,3,CL1,0,15,RWU,2022
29031,3,GH,0,15,RWU,2022
29032,3,GH,0,15,RWU,2022
29033,3,CL1,0,15,RWU,2022
29034,3,GH,0,15,RWU,2022
29035,3,GH,0,15,RWU,2022
29036,3,GH,0,15,RWU,2022
29037,3,MV,1,3,RWU,2022
29037,3,GH,0,15,RWU,2022
29039,3,GH,1,15,RWU,2022
29040,3,GH,0,15,RWU,2022
29041,3,GH,0,15,RWU,2022
29042,3,GH,0,15,RWU,2022
29043,3,GH,0,15,RWU,2022
29044,3,CL1,0,15,RWU,2022
29045,3,GH,0,15,RWU,2022
29046,3,GH,0,15,RWU,2022
29047,3,CL1,0,15,RWU,2022
29049,3,GH,0,15,RWU,2022
29050,3,GH,0,15,RWU,2022
29051,3,CL1,0,15,RWU,2022
29052,3,GH,0,15,RWU,2022
29053,3,GH,0,15,RWU,2022
29054,3,CL1,1,15,RWU,2022
29056,3,GH,0,15,RWU,2022
29057,3,GH,1,15,RWU,2022
29058,3,GH,0,15,RWU,2022
29059,3,GH,1,15,RWU,2022
29060,3,GH,0,15,RWU,2022
29061,3,CL1,1,15,RWU,2022
29062,3,CL1,0,15,RWU,2022
29063,3,CL1,0,15,RWU,2022
29064,3,CL1,0,15,RWU,2022
29065,3,GH,0,15,RWU,2022
29066,3,CL1,0,15,RWU,2022
29067,3,GH,0,15,RWU,2022
29068,3,GH,0,15,RWU,2022
29069,3,GH,0,15,RWU,2022
29070,3,CL1,1,15,RWU,2022
29071,3,GH,1,15,RWU,2022
29073,3,CL1,0,15,RWU,2022
29074,3,GH,0,15,RWU,2022
29075,3,CL1,0,15,RWU,2022
29076,3,CL1,0,15,RWU,2022
29077,3,GH,1,15,RWU,2022
29078,3,CL1,0,15,RWU,2022
29079,3,GH,1,15,RWU,2022
29080,3,GH,0,15,RWU,2022
29081,3,GH,0,15,RWU,2022
29082,3,GH,1,15,RWU,2022
29083,3,GH,0,15,RWU,2022
29085,3,GH,1,15,RWU,2022
29087,3,CL1,1,15,RWU,2022
29088,3,GH,0,15,RWU,2022
29089,3,CL1,0,15,RWU,2022
29090,3,GH,0,15,RWU,2022
29091,3,CL1,0,15,RWU,2022
29092,3,GH,1,15,RWU,2022
29093,3,CL1,0,15,RWU,2022
29094,3,GH,1,15,RWU,2022
29095,3,CT,0,15,RWU,2022
29096,3,GH,0,15,RWU,2022
29097,3,CT,0,15,RWU,2022
29098,3,GH,0,15,RWU,2022
29099,3,GH,0,15,RWU,2022
29100,3,CT,0,15,RWU,2022
29101,3,CL1,0,15,RWU,2022
29102,3,CL1,1,15,RWU,2022
29103,3,CT,0,15,RWU,2022
29104,3,CL1,0,15,RWU,2022
29105,3,CT,0,15,RWU,2022
29106,3,CL1,0,15,RWU,2022
29107,3,CL1,1,15,RWU,2022
29108,3,CL1,0,15,RWU,2022
29109,3,NR,1,10,RWU,2022
29110,3,CL1,0,15,RWU,2022
29111,3,NR,1,10,RWU,2022
29112,3,CL1,0,15,RWU,2022
29113,3,NR,1,10,RWU,2022
29114,3,CL1,0,15,RWU,2022
29115,3,NR,1,10,RWU,2022
29116,3,CL1,0,15,RWU,2022
29117,3,NR,1,10,RWU,2022
29118,3,CL1,0,15,RWU,2022
29119,3,CL2,1,10,RWU,2022
29120,3,CL1,0,15,RWU,2022
29121,3,CL1,1,15,RWU,2022
29122,3,CL1,0,15,RWU,2022
29123,3,CL2,1,10,RWU,2022
29124,3,CL1,0,15,RWU,2022
29125,3,CL1,0,15,RWU,2022
29126,3,CL1,0,15,RWU,2022
29127,3,CL1,1,15,RWU,2022
29128,3,CL1,1,15,RWU,2022
29129,3,NR,1,10,RWU,2022
29130,3,NR,1,10,RWU,2022
29131,3,CL1,0,15,RWU,2022
29132,3,CL1,1,15,RWU,2022
29133,3,NR,1,10,RWU,2022
29134,3,CL2,1,10,RWU,2022
29135,3,NR,1,10,RWU,2022
29136,3,CL2,1,10,RWU,2022
29137,3,CL1,1,15,RWU,2022
29138,3,CL2,1,10,RWU,2022
29139,3,CL1,1,15,RWU,2022
29140,3,CL2,1,10,RWU,2022
29141,3,CL1,1,15,RWU,2022
29142,3,CL2,1,10,RWU,2022
29143,3,CL2,1,10,RWU,2022
29144,3,CL1,0,15,RWU,2022
29145,3,CL2,1,10,RWU,2022
29146,3,NR,1,10,RWU,2022
29147,3,CL2,1,10,RWU,2022
29148,3,CL1,0,15,RWU,2022
29149,3,NR,1,10,RWU,2022
29150,3,NR,1,10,RWU,2022
29151,3,NR,1,10,RWU,2022
29152,3,NR,1,10,RWU,2022
29153,3,CL2,1,10,RWU,2022
29154,3,NR,1,10,RWU,2022
29155,3,CL2,1,10,RWU,2022
29156,3,CL2,1,10,RWU,2022
29157,3,NR,1,10,RWU,2022
29158,3,NR,1,10,RWU,2022
29159,3,NR,1,10,RWU,2022
29160,3,NR,1,10,RWU,2022
29161,3,CL1,0,15,RWU,2022
29162,3,NR,1,10,RWU,2022
29163,3,NR,1,10,RWU,2022
29164,3,NR,1,10,RWU,2022
29165,3,NR,1,10,RWU,2022
29166,3,CL2,1,10,RWU,2022
29167,3,NR,1,10,RWU,2022
29168,3,NR,1,10,RWU,2022
29169,3,CL2,1,10,RWU,2022
29170,3,NR,1,10,RWU,2022
29171,3,NR,1,10,RWU,2022
29172,3,NR,1,10,RWU,2022
29173,3,CL2,1,10,RWU,2022
29174,3,NR,1,10,RWU,2022
29175,3,NR,1,10,RWU,2022
29176,3,CL1,0,15,RWU,2022
29177,3,NR,1,10,RWU,2022
29178,3,NR,1,10,RWU,2022
29179,3,NR,1,10,RWU,2022
29180,3,NR,1,10,RWU,2022
29181,3,CL1,0,15,RWU,2022
29182,3,NR,1,10,RWU,2022
29183,3,NR,1,10,RWU,2022
29184,3,NR,1,10,RWU,2022
29185,3,CL2,1,10,RWU,2022
29186,3,NR,1,10,RWU,2022
29187,3,CL2,1,10,RWU,2022
29188,3,NR,1,10,RWU,2022
29189,3,NR,1,10,RWU,2022
29190,3,CL2,1,10,RWU,2022
29191,3,NR,1,10,RWU,2022
29192,3,NR,1,10,RWU,2022
29194,3,CL2,1,10,RWU,2022
29195,3,NR,1,10,RWU,2022
29196,3,NR,1,10,RWU,2022
29197,3,NR,1,10,RWU,2022
29198,3,NR,1,10,RWU,2022
29199,3,NR,1,10,RWU,2022
29200,3,NR,1,10,RWU,2022
29201,3,NR,1,10,RWU,2022
29202,3,NR,1,10,RWU,2022
29203,3,NR,1,10,RWU,2022
29204,3,NR,1,10,RWU,2022
29205,3,NR,1,10,RWU,2022
29206,3,NR,1,10,RWU,2022
29207,3,NR,1,10,RWU,2022
29208,3,CT,0,15,RWU,2022
29209,3,CT,0,15,RWU,2022
29210,3,CT,0,15,RWU,2022
29211,3,CT,0,15,RWU,2022
29212,3,CT,0,15,RWU,2022
29213,3,CT,0,15,RWU,2022
29214,3,CT,0,15,RWU,2022
29215,3,CT,0,15,RWU,2022
29216,3,CT,0,15,RWU,2022
29217,3,CT,0,15,RWU,2022
29218,3,CT,0,15,RWU,2022
29219,3,CT,0,15,RWU,2022
29220,3,CT,0,15,RWU,2022
29221,3,CT,0,15,RWU,2022
29222,3,CT,0,15,RWU,2022
29223,3,MV,1,15,RWU,2022
29224,3,CT,1,15,RWU,2022
29225,3,MV,0,15,RWU,2022
29226,3,CT,0,15,RWU,2022
29227,3,CT,1,15,RWU,2022
29228,3,CT,0,15,RWU,2022
29229,3,CT,0,15,RWU,2022
29230,3,CT,0,15,RWU,2022
29231,3,CT,0,15,RWU,2022
29232,3,CT,0,15,RWU,2022
29233,3,CT,0,15,RWU,2022
29234,3,CT,0,15,RWU,2022
29235,3,CT,0,15,RWU,2022
29236,3,CT,0,15,RWU,2022
29237,3,CT,0,15,RWU,2022
29238,3,CT,0,15,RWU,2022
29239,3,CT,0,15,RWU,2022
29240,3,CT,0,15,RWU,2022
29241,3,MV,0,15,RWU,2022
29242,3,CT,0,15,RWU,2022
29243,3,CT,0,15,RWU,2022
29244,3,CT,0,15,RWU,2022
29245,3,CT,0,15,RWU,2022
29246,3,CT,1,15,RWU,2022
29247,3,MV,1,15,RWU,2022
29248,3,MV,1,15,RWU,2022
29249,3,CT,0,15,RWU,2022
29250,3,CT,0,15,RWU,2022
29251,3,CT,1,15,RWU,2022
29252,3,MV,0,15,RWU,2022
29253,3,CT,0,15,RWU,2022
29254,3,CT,0,15,RWU,2022
29255,3,MV,0,15,RWU,2022
29256,3,MV,0,15,RWU,2022
29257,3,CT,0,15,RWU,2022
29258,3,CT,0,15,RWU,2022
29259,3,CT,0,15,RWU,2022
29260,3,CT,0,15,RWU,2022
29261,3,MV,0,15,RWU,2022
29262,3,MV,1,15,RWU,2022
29263,3,MV,0,15,RWU,2022
29264,3,CT,0,15,RWU,2022
29265,3,CT,0,15,RWU,2022
29266,3,MV,0,15,RWU,2022
29267,3,MV,0,15,RWU,2022
29268,3,CT,0,15,RWU,2022
29269,3,MV,0,15,RWU,2022
29270,3,MV,0,15,RWU,2022
29271,3,MV,0,15,RWU,2022
29272,3,MV,1,15,RWU,2022
29273,3,MV,1,15,RWU,2022
29274,3,MV,1,15,RWU,2022
29275,3,MV,1,15,RWU,2022
29276,3,MV,1,15,RWU,2022
29277,3,MV,1,15,RWU,2022
29278,3,CT,0,15,RWU,2022
29279,3,MV,1,15,RWU,2022
29280,3,MV,0,15,RWU,2022
29281,3,MV,1,15,RWU,2022
29282,3,MV,0,15,RWU,2022
29283,3,MV,0,15,RWU,2022
29284,3,CT,0,15,RWU,2022
29285,3,MV,1,15,RWU,2022
29286,3,MV,0,15,RWU,2022
29287,3,MV,0,15,RWU,2022
29288,3,MV,0,15,RWU,2022
29289,3,MV,0,15,RWU,2022
29290,3,MV,0,15,RWU,2022
29291,3,MV,0,15,RWU,2022
29292,3,MV,1,15,RWU,2022
29293,3,MV,1,15,RWU,2022
29294,3,MV,1,15,RWU,2022
29295,3,MV,1,15,RWU,2022
29296,3,MV,0,15,RWU,2022
29297,3,MV,1,15,RWU,2022
29298,3,MV,1,15,RWU,2022
29299,3,MV,1,15,RWU,2022
29300,3,MV,1,15,RWU,2022
29301,3,MV,1,15,RWU,2022
29302,3,MV,1,15,RWU,2022
29303,3,MV,0,15,RWU,2022
29304,3,MV,1,15,RWU,2022
29305,3,MV,0,15,RWU,2022
29306,3,MV,1,15,RWU,2022
29307,3,MV,0,15,RWU,2022
29308,2,CL2,0,15,RWU,2022
29309,2,CL2,0,15,RWU,2022
29310,3,CL2,1,10,RWU,2022
29311,3,CL2,1,10,RWU,2022
29312,2,CL2,0,15,RWU,2022
29313,2,GH,1,10,RWU,2022
29314,2,CL2,0,15,RWU,2022
29315,3,CL2,1,10,RWU,2022
29316,3,CL2,1,10,RWU,2022
29317,2,CL2,0,15,RWU,2022
29318,3,CL2,1,10,RWU,2022
29319,2,CL2,1,15,RWU,2022
29320,3,CL2,1,10,RWU,2022
29321,3,CL2,1,10,RWU,2022
29322,2,CL2,0,15,RWU,2022
29323,3,CL2,1,10,RWU,2022
29324,3,CL2,1,3,RWU,2022
29325,2,GH,1,10,RWU,2022
29326,2,CL2,0,15,RWU,2022
29327,2,CL2,0,15,RWU,2022
29328,3,CL2,1,10,RWU,2022
29329,2,CL2,0,15,RWU,2022
29330,3,CL2,1,10,RWU,2022
29331,2,CL2,0,15,RWU,2022
29332,3,CL2,1,10,RWU,2022
29333,3,CL2,1,10,RWU,2022
29334,3,CL2,1,10,RWU,2022
29335,3,CL2,1,10,RWU,2022
29336,2,CL2,0,15,RWU,2022
29337,2,CL2,0,15,RWU,2022
29338,3,CL2,1,10,RWU,2022
29339,3,CL2,1,10,RWU,2022
29340,2,CL2,0,15,RWU,2022
29341,3,CL2,1,10,RWU,2022
29342,3,CL2,1,10,RWU,2022
29343,3,CL2,1,10,RWU,2022
29344,2,CL2,0,15,RWU,2022
29345,2,CL2,0,15,RWU,2022
29346,3,CL2,1,10,RWU,2022
29347,3,CL2,1,10,RWU,2022
29348,3,CL2,1,10,RWU,2022
29349,2,CL2,0,15,RWU,2022
29350,3,CL2,1,10,RWU,2022
29351,2,GH,1,10,RWU,2022
29352,2,GH,1,10,RWU,2022
29353,2,CL2,0,15,RWU,2022
29354,3,CL2,1,10,RWU,2022
29355,2,CL2,0,15,RWU,2022
29356,2,CL2,0,15,RWU,2022
29357,2,CL2,0,15,RWU,2022
29358,2,CL2,0,15,RWU,2022
29359,2,CL2,1,15,RWU,2022
29360,2,GH,1,10,RWU,2022
29361,2,CL2,0,15,RWU,2022
29362,3,CL2,1,10,RWU,2022
29363,2,CL2,0,15,RWU,2022
29364,3,CL2,1,10,RWU,2022
29365,2,CL2,0,15,RWU,2022
29366,3,CL2,1,10,RWU,2022
29367,2,CL2,0,15,RWU,2022
29368,3,CL2,1,10,RWU,2022
29369,2,CL2,0,15,RWU,2022
29370,2,GH,1,10,RWU,2022
29371,2,GH,1,10,RWU,2022
29372,2,CL2,0,15,RWU,2022
29373,3,CL2,1,10,RWU,2022
29374,2,CL2,0,15,RWU,2022
29375,2,CL2,1,15,RWU,2022
29376,3,CL2,1,10,RWU,2022
