Population,Bag,Oyster,Status,Age,Site,Year
GH,1,1,1,12,Wickford,2023
GH,1,2,1,12,Wickford,2023
GH,1,3,1,12,Wickford,2023
GH,1,4,1,12,Wickford,2023
GH,1,5,1,12,Wickford,2023
GH,1,6,1,12,Wickford,2023
GH,1,7,1,12,Wickford,2023
GH,1,8,1,12,Wickford,2023
GH,1,9,1,12,Wickford,2023
GH,1,10,1,12,Wickford,2023
GH,1,11,1,12,Wickford,2023
GH,1,12,1,12,Wickford,2023
GH,1,13,1,12,Wickford,2023
GH,1,14,1,12,Wickford,2023
GH,1,15,1,12,Wickford,2023
GH,1,16,1,12,Wickford,2023
GH,1,17,1,12,Wickford,2023
GH,1,18,1,12,Wickford,2023
GH,1,19,1,12,Wickford,2023
GH,1,20,1,12,Wickford,2023
GH,1,21,1,12,Wickford,2023
GH,1,22,1,12,Wickford,2023
GH,1,23,1,12,Wickford,2023
GH,1,24,1,12,Wickford,2023
GH,1,25,1,12,Wickford,2023
GH,1,26,1,12,Wickford,2023
GH,1,27,1,12,Wickford,2023
GH,1,28,1,12,Wickford,2023
GH,1,29,1,12,Wickford,2023
GH,1,30,1,12,Wickford,2023
GH,1,31,1,12,Wickford,2023
GH,1,32,1,12,Wickford,2023
GH,1,33,1,12,Wickford,2023
GH,1,34,1,12,Wickford,2023
GH,1,35,1,12,Wickford,2023
GH,1,36,1,12,Wickford,2023
GH,1,37,1,12,Wickford,2023
GH,1,38,1,12,Wickford,2023
GH,1,39,1,12,Wickford,2023
GH,1,40,1,12,Wickford,2023
GH,1,41,1,12,Wickford,2023
GH,1,42,1,12,Wickford,2023
GH,1,43,1,12,Wickford,2023
GH,1,44,1,12,Wickford,2023
GH,1,45,1,12,Wickford,2023
GH,1,46,1,12,Wickford,2023
GH,1,47,1,12,Wickford,2023
GH,1,48,1,12,Wickford,2023
GH,1,49,1,12,Wickford,2023
GH,1,50,1,12,Wickford,2023
GH,1,51,1,12,Wickford,2023
MV,1,1,1,12,Wickford,2023
MV,1,2,1,12,Wickford,2023
MV,1,3,1,12,Wickford,2023
MV,1,4,1,12,Wickford,2023
MV,1,5,1,12,Wickford,2023
